label	Group	numOtus	Otu0001	Otu0002	Otu0003	Otu0004	Otu0005	Otu0006	Otu0007	Otu0008	Otu0009	Otu0010	Otu0011	Otu0012	Otu0013	Otu0014	Otu0015	Otu0016	Otu0017	Otu0018	Otu0019	Otu0020	Otu0021	Otu0022	Otu0023	Otu0024	Otu0025	Otu0026	Otu0027	Otu0028	Otu0029	Otu0030	Otu0031	Otu0032	Otu0033	Otu0034	Otu0035	Otu0036	Otu0037	Otu0038	Otu0039	Otu0040	Otu0041	Otu0042	Otu0043	Otu0044	Otu0045	Otu0046	Otu0047	Otu0048	Otu0049	Otu0050	Otu0051	Otu0052	Otu0053	Otu0054	Otu0055	Otu0056	Otu0057	Otu0058	Otu0059	Otu0060	Otu0061	Otu0062	Otu0063	Otu0064	Otu0065	Otu0066	Otu0067	Otu0068	Otu0069	Otu0070	Otu0071	Otu0072	Otu0073	Otu0074	Otu0075	Otu0076	Otu0077	Otu0078	Otu0079	Otu0080	Otu0081	Otu0082	Otu0083	Otu0084	Otu0085	Otu0086	Otu0087	Otu0088	Otu0091
0.06	10CF278a	7110	56	13	39	32	8427	10	3	160	24	3	6	3484	3	0	3	14	6	0	0	13	3544	700	1903	95	351	0	7	1	3	2	2	4	0	0	6164	0	0	1	371	38	0	7	0	0	13	2	3	3	2402	22	1	0	44	0	17	0	0	3	1	0	2	1	5	1	18	0	0	0	1	0	6017	0	0	0	0	0	6	0	0	1672	0	0	7	0	1	0	1	487	0
0.06	11	7110	44	3	4756	5	316	2	0	2	1129	0	7432	2	0	2	1730	3971	0	2	2	4	0	109	4	15	7	4	254	0	0	3	3	0	0	0	0	0	3	0	7	0	226	6497	0	0	0	682	11	1	0	0	0	3	0	1	10	0	0	0	0	0	1	0	1331	0	0	0	1505	2	0	0	0	513	0	0	2	0	497	0	0	0	0	0	0	0	1171	0	0	8	0
0.06	11AA07	7110	14	1	5530	233	19	6215	13	32	0	2	2	67	1	5	36	1	0	0	1	1880	0	2	8	6	1	2251	91	10	4	329	0	0	74	1	2013	1	0	0	11	9	23	1	0	0	0	14	1	0	10	0	3319	0	69	170	38	1370	6	14	8882	0	1	25	0	0	277	0	2	1	0	4	0	3	0	0	0	15	3	0	17	0	0	142	8	0	0	3	0	0	1136
0.06	11CF278b	7110	19	10	12	23	5145	1	18	155	7857	0	2	5722	0	0	264	1	0	0	0	5	3955	276	87	23	443	0	105	0	0	0	0	102	0	1	243	0	2	1	864	10	0	0	0	0	0	2	0	0	8874	0	0	0	6	0	0	0	0	0	12	0	1	0	17	2	4	1	0	0	1	0	30	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	2544	0
0.06	11VP03	7110	525	0	2208	193	178	10	9	4	3	15834	71	23	0	19	1	2	80	4	2	348	0	0	10	7	6	4	656	34	0	11	0	0	3	0	104	38	146	886	20	12	0	1	8	0	0	0	0	0	0	0	1	0	10	1031	1	2886	7	26	5	0	26	33	1	0	633	0	0	0	0	0	0	1402	0	0	0	30	343	0	112	53	0	8	347	0	3	0	0	0	805
0.06	11VP04	7110	27	3	25	688	239	5250	0	6	8	1888	62	4	157	11	23	30	832	2	8	3427	2	34	679	43	42	0	335	83	0	1604	0	0	8	0	3316	8	17	7	14	16	28	0	2	0	0	6	5	0	2	4	3675	0	1043	20	48	26	73	14	64	0	477	26	1	0	1180	0	4	1	0	5	0	928	2	0	8	811	13	0	346	0	0	20	192	0	4	1	0	0	345
0.06	11VP05	7110	132	2	971	56	23	66	31	78	0	22444	580	7	149	0	5	5	1020	0	0	5	8	2	67	12	16	3	812	318	1	15	4	0	4	0	13	3017	83	100	13	5	1	0	0	0	0	3	2	0	0	0	11	0	27	36	1	11	0	101	4	0	7	0	1	0	3	0	0	0	0	0	0	797	2	0	0	32	13	0	29	13	0	4	152	0	66	0	0	0	12
0.06	11VP06	7110	11	14	5250	1914	97	12588	168	224	7	5	2	2652	2	0	437	1	1	0	0	5776	1	0	14	20	2	5072	4	7	0	37	0	2	1	0	5	3	6	0	2	5	3	3	0	0	0	84	0	0	6	0	59	0	102	30	16	491	1	6	1567	0	0	13	0	2	9	120	36	0	1	5	0	29	1	1	0	0	10	0	12	0	0	378	12	0	3	3	0	0	186
0.06	11VP08	7110	14	3	339	12	48	2913	4	241	0	9	78	9	3	0	6	5	24	8	1	834	0	0	109	5	91	27	172	59	2	816	0	0	68	0	9502	9	0	5	0	9	10	0	0	0	0	33	0	0	0	0	1124	0	285	667	62	1211	677	1	39	0	424	73	0	1	2756	0	10	0	0	1	0	717	0	0	0	1901	0	0	112	5	0	343	945	0	0	0	0	0	70
0.06	11VP09	7110	26	7	277	68	21	12329	0	7	0	5	15	2	5	2	7	0	0	4	4	280	0	1	30	8	1	17782	195	44	0	2882	14	0	1060	1	22	0	0	0	3	7	12	2	0	0	0	5	0	8	0	0	99	7	31	149	38	9	13	0	23	2	0	2	1	3	507	414	18	3	0	3	0	6	0	0	1	1	3	0	62	0	3	48	23	0	0	4	0	0	159
